nev = 30, nb = 0, ne = 29
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29372417
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29372417
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 20951049
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29315089
============================= end ===========================
********** amg parameters **********
strong_connection_threshold          = 0.25
strong_diagonally_dominant_threshold = 0.1
truncation_threshold                 = 0.2
positive_connected                   = 0
interpolation_type                   = 1
max_level                            = 100
max_coarsest_dof                     = 3000
setup_phase_print_level              = 0

linear_solver_base_type = 2

cg_max_iter = 1000
cg_tol      = 1e-14

gs_max_iter = 1000
gs_tol      = 1e-14

amgcycle_tol                 = 1e-16
amgcycle_coarsest_tol        = 1e-18
amgcycle_mu                  = 1
amgcycle_pre_post_smooth     = 1
amgcycle_coarsest_level      = 0
amgcycle_max_coarsest_smooth = 1000
amgcycle_print_level         = 0

amgsolver_tol                     = 1e-12
amgsolver_max_cycle               = 100
amgsolver_max_convergence_factor  = 0.99
amgsolver_nmax_convergence_factor = 1
amgsolver_print_level             = 0

pcg_amg_tol         = 1e-14
pcg_amg_max_iter    = 100
pcg_amg_print_level = 0

amgeigen_coarsest_level = 0
amgeigen_nouter_iter    = 1
amgeigen_print_level    = 1
************************************

init time: 44.603724
========================= multigrid =========================
level =  0, nrow = 4198401, nnz = 20951049, sparse =  4.990245
level =  1, nrow = 2095105, nnz = 18839569, sparse =  8.992184
level =  2, nrow =  525311, nnz = 4735959, sparse =  9.015534
level =  3, nrow =  131589, nnz = 1182293, sparse =  8.984740
level =  4, nrow =   33028, nnz =  297778, sparse =  9.015926
level =  5, nrow =    8515, nnz =   79561, sparse =  9.343629
grid complexity = 1.665384, operator complexity = 2.199709
=============================================================
setup phase time: 36.676870
=============== 0 ===============
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  4     0       1        0.003271358095746     0.142193
  4     1       1        0.002249639836213     0.143961
  4     2       1        0.001971525013806     0.139998
  4     3       1        0.002257670748102     0.140551
  4     4       1        0.001088714651802     0.140907
  4     5       1        0.001535053538956     0.141302
  4     6       1        0.001205338856296     0.150343
  4     7       1        0.002475657561108     0.146775
  4     8       1        0.001077510544266     0.140217
  4     9       1        0.001147937920330     0.143892
  4    10       1        0.000635038173014     0.138665
  4    11       1        0.001181592801816     0.138802
  4    12       1        0.000662375956468     0.137751
  4    13       1        0.001131462262957     0.132830
  4    14       1        0.000756985261999     0.138038
  4    15       1        0.000706114571588     0.134289
  4    16       1        0.000666292163281     0.140155
  4    17       1        0.000891613328734     0.141965
  4    18       1        0.000561042355745     0.125770
  4    19       1        0.000899851210798     0.086222
  4    20       1        0.000463226036549     0.088263
  4    21       1        0.000552205183373     0.086771
  4    22       1        0.000854584249300     0.086939
  4    23       1        0.000689287511774     0.088588
  4    24       1        0.000631335468500     0.086680
  4    25       1        0.000691221175877     0.087043
  4    26       1        0.000529829173534     0.086593
  4    27       1        0.000764940553286     0.086633
  4    28       1        0.000599050178450     0.086540
  4    29       1        0.000720575344262     0.087324
.......................................................
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  3     0       1        0.000793990255823     0.132626
  3     1       1        0.001127960094415     0.134824
  3     2       1        0.000506555236706     0.131846
  3     3       1        0.001566468013409     0.130858
  3     4       1        0.001223513197692     0.130169
  3     5       1        0.000734444422117     0.130539
  3     6       1        0.000308125054466     0.135692
  3     7       1        0.001525001711436     0.132159
  3     8       1        0.000416218932294     0.131133
  3     9       1        0.000307619298430     0.135674
  3    10       1        0.000906818384160     0.134562
  3    11       1        0.000459439731190     0.138008
  3    12       1        0.000189005309580     0.130202
  3    13       1        0.000784241468901     0.135973
  3    14       1        0.000215316556537     0.134398
  3    15       1        0.000600097919980     0.135068
  3    16       1        0.000596981851849     0.130698
  3    17       1        0.000310968420264     0.136915
  3    18       1        0.000483612646721     0.133967
  3    19       1        0.000711929749415     0.141627
  3    20       1        0.000148853907747     0.138206
  3    21       1        0.000481575686445     0.132443
  3    22       1        0.000202331812990     0.132793
  3    23       1        0.000264638716832     0.128184
  3    24       1        0.000183647417449     0.130559
  3    25       1        0.000585785104372     0.125881
  3    26       1        0.000278482645611     0.129508
  3    27       1        0.000545924602778     0.126685
  3    28       1        0.000622353338856     0.131404
  3    29       1        0.000782852901943     0.129986
.......................................................
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  2     0       1        0.000674279939849     1.091716
  2     1       1        0.000512132207177     0.967125
  2     2       1        0.000482336990587     0.942946
  2     3       1        0.001344598975283     0.942111
  2     4       1        0.000345601868499     0.886673
  2     5       1        0.000339481344374     0.924047
  2     6       1        0.000311624040063     0.953569
  2     7       1        0.001825695071936     0.938024
  2     8       1        0.000233206465388     0.904487
  2     9       1        0.000233256694264     1.159133
  2    10       1        0.000257556046114     1.079443
  2    11       1        0.000205128364797     1.044605
  2    12       1        0.000177671631147     0.952182
  2    13       1        0.000609031243048     0.970201
  2    14       1        0.000169468599916     1.057644
  2    15       1        0.000197047859942     0.649265
  2    16       1        0.000179787112526     0.459882
  2    17       1        0.000168961709263     0.446327
  2    18       1        0.000201537896748     0.452863
  2    19       1        0.000183231290183     0.399484
  2    20       1        0.000128514560652     0.413004
  2    21       1        0.000192693335059     0.921981
  2    22       1        0.000163128998546     0.868230
  2    23       1        0.000151331886349     0.903602
  2    24       1        0.000142332827770     1.073099
  2    25       1        0.000311907361229     1.171409
  2    26       1        0.000167418582329     1.089226
  2    27       1        0.000156820553807     1.220266
  2    28       1        0.000219488306479     1.225513
  2    29       1        0.000203391148230     1.196847
.......................................................
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  1     0       1        0.000625435835642     2.241248
  1     1       1        0.000343386786957     2.391641
  1     2       1        0.000431068565395     3.123848
  1     3       1        0.000942696974418     4.946192
  1     4       1        0.000219143124521     4.902506
  1     5       1        0.000188806824852     3.987914
  1     6       1        0.000248907930031     4.106682
  1     7       1        0.001262877871332     2.885744
  1     8       1        0.000169233281693     5.726503
  1     9       1        0.000210295896696     6.910736
  1    10       1        0.000146461802454     6.164370
  1    11       1        0.000122202868625     5.816599
  1    12       1        0.000117430633623     3.387205
  1    13       1        0.000414859099644     2.559775
  1    14       1        0.000131823385706     2.365000
  1    15       1        0.000132128417218     2.239606
  1    16       1        0.000113814851213     2.024774
  1    17       1        0.000099697484905     2.158852
  1    18       1        0.000121893689905     2.128657
  1    19       1        0.000106628051451     2.455897
  1    20       1        0.000075766614906     2.056097
  1    21       1        0.000127864119666     2.141731
  1    22       1        0.000125515308667     1.887422
  1    23       1        0.000107766370367     1.996889
  1    24       1        0.000125661138762     2.053990
  1    25       1        0.000210404213196     2.528422
  1    26       1        0.000098432333679     2.374169
  1    27       1        0.000102549888164     2.538911
  1    28       1        0.000133523927873     2.499770
  1    29       1        0.000124037170991     2.344455
.......................................................
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  0     0       1        0.000543872793941     4.136862
