==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29372417
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29372417
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 20951049
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29315089
============================= end ===========================
********** amg parameters **********
strong_connection_threshold          = 0.25
strong_diagonally_dominant_threshold = 0.1
truncation_threshold                 = 0.2
positive_connected                   = 0
interpolation_type                   = 1
max_level                            = 100
max_coarsest_dof                     = 500
setup_phase_print_level              = 0

linear_solver_base_type = 2

cg_max_iter = 1000
cg_tol      = 1e-14

gs_max_iter = 1000
gs_tol      = 1e-14

amgcycle_tol                 = 1e-16
amgcycle_coarsest_tol        = 1e-18
amgcycle_mu                  = 1
amgcycle_pre_post_smooth     = 1
amgcycle_coarsest_level      = 0
amgcycle_max_coarsest_smooth = 1000
amgcycle_print_level         = 0

amgsolver_tol                     = 1e-12
amgsolver_max_cycle               = 100
amgsolver_max_convergence_factor  = 0.99
amgsolver_nmax_convergence_factor = 1
amgsolver_print_level             = 0

pcg_amg_tol         = 1e-14
pcg_amg_max_iter    = 100
pcg_amg_print_level = 0

amgeigen_coarsest_level = 0
amgeigen_nouter_iter    = 1
amgeigen_print_level    = 1
************************************

init time: 59.813921
========================= multigrid =========================
level =  0, nrow = 4198401, nnz = 20951049, sparse =  4.990245
level =  1, nrow = 2095105, nnz = 18839569, sparse =  8.992184
level =  2, nrow =  525311, nnz = 4735959, sparse =  9.015534
level =  3, nrow =  131589, nnz = 1182293, sparse =  8.984740
level =  4, nrow =   33028, nnz =  297778, sparse =  9.015926
level =  5, nrow =    8515, nnz =   79561, sparse =  9.343629
level =  6, nrow =    2165, nnz =   21889, sparse = 10.110393
level =  7, nrow =     597, nnz =    7141, sparse = 11.961474
grid complexity = 1.666042, operator complexity = 2.201095
=============================================================
setup phase time: 70.731103
=============== 0 ===============
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  6     0       1        0.005450960176337     0.007839
  6     1       1        0.004345296277310     0.007969
  6     2       1        0.003306257172642     0.008012
  6     3       1        0.003943331413480     0.008272
  6     4       1        0.003147337808083     0.008267
  6     5       1        0.002928502504393     0.007365
  6     6       1        0.002232539781253     0.007811
  6     7       1        0.004308193438296     0.007454
  6     8       1        0.001923210381997     0.006908
  6     9       1        0.001996306756276     0.008382
  6    10       1        0.001610539647494     0.007564
  6    11       1        0.002086506669747     0.007190
  6    12       1        0.001776630488502     0.006856
  6    13       1        0.002173867596470     0.008320
  6    14       1        0.001385462706175     0.007699
  6    15       1        0.001846451009512     0.007346
  6    16       1        0.001978853934610     0.007957
  6    17       1        0.001585583245222     0.007895
  6    18       1        0.001503522971765     0.008453
  6    19       1        0.001621057771613     0.007436
  6    20       1        0.001479055198756     0.008062
  6    21       1        0.001631197247175     0.007695
  6    22       1        0.001675883491957     0.007513
  6    23       1        0.001863095877785     0.006914
  6    24       1        0.001507939112184     0.007775
  6    25       1        0.001501511393994     0.007063
  6    26       1        0.001625366466794     0.007756
  6    27       1        0.001503112838823     0.007734
  6    28       1        0.001428813634841     0.007283
.......................................................
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  5     0       1        0.005336091609425     0.011049
  5     1       1        0.003834196389930     0.011009
  5     2       1        0.003293185924269     0.010664
  5     3       1        0.003428031448713     0.013259
  5     4       1        0.002769686787234     0.011013
  5     5       1        0.002277434268333     0.010896
  5     6       1        0.001846797480302     0.011086
  5     7       1        0.003409644346570     0.010481
  5     8       1        0.001234334250552     0.010226
  5     9       1        0.001334869854794     0.012923
  5    10       1        0.001507332838240     0.011936
  5    11       1        0.001554789244107     0.009996
  5    12       1        0.001243092199017     0.010427
  5    13       1        0.001543557946049     0.010419
  5    14       1        0.001149968767980     0.009751
  5    15       1        0.001078699721342     0.011240
  5    16       1        0.000937513300845     0.009859
  5    17       1        0.000951179454076     0.010584
  5    18       1        0.001227097694919     0.009811
  5    19       1        0.001255603480931     0.010557
  5    20       1        0.001042215253255     0.010100
